Type,loc,class,amp_x,amp_y,amp_z,power_x,power_y,power_z,sma,iqr_x,iqr_y,iqr_z,var_x,var_y,var_z,ori_z,ori_x,ori_y
static,外套右邊,move,8.191051051,7.598294675,1.165354189,5845.167035,6017.29912,2.399250996,13.72154273,0.122583389,0.068101406,0.14982383,0.020394658,0.006426472,0.013379447,77,1.98E-04,3353
static,外套右邊,move,7.579219593,7.35902003,1.017631113,5858.749409,6025.578046,3.107357454,13.7569769,0.122583389,0.068101406,0.149823826,0.00698507,0.00247365,0.008143438,60,1.68E-04,2722
static,外套右邊,move,7.685448586,7.576977386,1.108165472,5844.489527,6082.063167,6.249220506,13.85114877,0.122583389,0.081721783,0.122583136,0.009263277,0.004724561,0.008441566,54,1.53E-04,406
static,外套右邊,move,7.737166282,7.537005654,1.108987839,5839.7945,6066.230371,4.471441046,13.79890198,0.163444519,0.081721783,0.149823822,0.009967312,0.004167561,0.009633746,70,2.29E-04,948
static,外套右邊,move,7.702273211,7.473840148,1.101418583,5880.764776,6060.181122,3.912116678,13.8057122,0.149824142,0.108962536,0.149823822,0.008952409,0.003773892,0.009384839,64,3.51E-04,2004
static,外套右邊,move,7.903848406,7.580306729,1.141009396,5859.827679,6085.534582,2.30426786,13.76538321,0.190685272,0.081721783,0.14982383,0.012572751,0.005441692,0.011111466,68,1.98E-04,4652
static,外套右邊,move,14.43338666,16.6214557,5.229596827,6684.746415,5348.704959,34.6519508,13.80209425,0.633346558,0.735498905,0.25197643,0.722921536,1.617889359,0.254990176,335,39.28730011,4591
static,外套右邊,move,14.59189206,9.819984073,2.664871376,9640.543847,2267.189325,10.30362602,13.05308148,0.735498428,0.701447725,0.374559589,0.362901899,0.325551358,0.069604483,266,15.83564758,8332
static,外套右邊,move,14.86619891,9.523450659,2.41484903,8966.010633,2885.605569,11.84654506,13.32165774,0.74230957,0.633346558,0.258786611,0.480653638,0.238280106,0.052945222,239,6.583961487,5067
static,外套右邊,move,13.00280317,8.583403476,2.273960448,8962.292446,2859.794851,9.299439455,13.27888137,0.58567524,0.46309185,0.313268006,0.241899466,0.147355975,0.045237585,206,4.861038208,5468
static,外套右邊,move,12.59180511,8.108103838,1.654733597,9005.45556,2898.255019,5.343541704,13.29090557,0.626536369,0.442661285,0.190684866,0.230148525,0.114454709,0.023084381,170,9.000244141,5700
static,外套右邊,move,13.27168005,8.206111555,1.68718328,8994.267697,2851.974534,4.838387408,13.2275923,0.660587311,0.483522415,0.23154591,0.292855173,0.12921042,0.026616939,191,8.000213623,7373
static,外套右邊,move,11.76211703,7.937868526,1.737871447,9107.118417,2774.475364,4.332491108,13.21865388,0.422230721,0.46309185,0.231545914,0.120648907,0.126579212,0.027277433,217,11.72000885,8309
static,外套右邊,move,13.37994111,8.607190988,2.120610092,9150.046449,2761.843717,8.624354578,13.27132637,0.612915993,0.490332127,0.251976456,0.303114488,0.156368469,0.04052628,176,12.73376465,6030
static,外套右邊,move,14.56201692,9.201469343,1.990881095,9196.051463,2649.848432,7.902334539,13.17640955,0.735498428,0.599295616,0.231545921,0.391834566,0.260708069,0.036029942,268,20.81832886,6620
static,外套右邊,move,13.85423115,8.555967762,1.916649952,8713.239886,2981.036706,4.561044137,13.18577353,0.742309093,0.469902039,0.251976438,0.345675808,0.144093777,0.033744353,239,11.29229736,8231
static,外套右邊,move,14.06615147,8.301004437,1.780616927,9039.545949,2777.534488,5.08345127,13.18492225,0.7831707,0.483522415,0.21111539,0.344018693,0.150666801,0.02994351,228,17.86794281,7356
static,外套右邊,move,13.92975928,8.854261823,1.880060332,9133.551125,2813.145531,8.053528329,13.2978222,0.762739182,0.687828064,0.190684877,0.337817787,0.200448093,0.033167361,266,20.94316101,5360
static,外套右邊,move,11.35599109,8.79969527,1.710035215,8501.943417,3468.673089,9.056972945,13.56065229,0.503952503,0.469902039,0.204305224,0.123490143,0.146471538,0.025254891,189,15.29299164,3857
static,外套右邊,move,14.9484266,14.32189518,3.672458248,7881.890289,4078.487071,16.64560364,13.61513373,0.762739182,1.375655174,0.31326801,0.718130469,1.250022211,0.126581347,309,45.65605164,3789
static,外套右邊,move,9.467319957,11.15774551,2.337443528,5627.553488,6346.354286,6.981072644,13.81997097,0.231545925,0.21111536,0.258786611,0.082031819,0.158026947,0.054967147,150,16.29762268,4242
static,外套右邊,move,9.570340869,10.60301792,3.978392398,5413.047856,6711.48951,58.41497942,14.32009308,0.190684795,0.231545925,0.449471474,0.101178453,0.119068946,0.197465459,188,21.85456085,1270
static,外套右邊,move,7.786333062,7.602720354,1.315584149,5763.78619,6118.987184,9.15603741,13.86210895,0.149823666,0.122582912,0.14982383,0.012136508,0.00524504,0.014884921,72,4.81E-04,248
static,外套右邊,move,16.61545166,20.31169393,5.894357664,7748.467941,4413.351417,43.53992046,13.6794047,1.77745533,2.540194511,0.381369743,1.20072618,2.953974171,0.314092047,440,51.97780609,3840
static,外套右邊,move,11.70630524,7.593150976,1.588464086,9360.085221,2388.308402,4.775312745,13.00881545,0.381370544,0.50395298,0.23154591,0.113863431,0.115649009,0.026211675,158,6.000320435,5124
static,外套右邊,move,14.71051856,9.376476519,2.279390368,9002.530238,2817.102923,7.744647693,13.21312065,0.864892483,0.660586834,0.272406954,0.513931843,0.265629201,0.053062799,242,60.06847382,7890
static,外套右邊,move,11.92275098,7.991356651,1.924815601,8818.169911,2894.089883,6.105076149,13.20258617,0.46309185,0.442661285,0.23154591,0.133549701,0.118294624,0.03236933,194,22.45929718,5146
static,外套右邊,move,15.17859542,11.28125437,3.580491557,8824.108842,3161.4185,24.07135221,13.52447322,0.912563801,1.184970379,0.503952861,0.567508384,0.596951381,0.122428369,268,83.91645813,4525
static,外套右邊,move,16.3070269,9.8411189,3.008020407,9240.568506,2600.941243,13.03383395,13.1730045,0.912562847,0.749119282,0.340508703,0.677074339,0.324109133,0.084854339,275,39.2845459,7715
static,外套右邊,move,15.35831834,10.37883402,2.085147674,8979.401601,2794.099566,7.392356861,13.1714083,1.007905483,0.742309093,0.292837488,0.54851883,0.351739303,0.040261943,329,50.33886719,6275
static,外套右邊,move,16.3995489,9.951206521,2.197261269,8931.487902,2960.833477,6.96122273,13.27015584,0.844461918,0.592485428,0.272406954,0.699949654,0.271011821,0.045111598,307,69.85276794,6875
static,外套右邊,move,18.77790683,10.97800726,2.939360168,8694.122041,3121.874029,12.67393681,13.30697332,1.246261597,0.762739658,0.381369747,1.202874829,0.380266085,0.083361462,382,82.48841858,7216
static,外套右邊,move,17.65959962,11.02218599,2.771058953,8791.326866,3165.451801,10.94847236,13.39827222,0.994285583,0.694637775,0.381369747,1.008187535,0.39964395,0.069361727,348,82.37705994,7008
static,外套右邊,move,13.90249265,9.608874199,1.878183245,8681.874643,3186.593482,7.820151913,13.37965064,0.71506834,0.674207211,0.231545921,0.324468763,0.250858564,0.033014851,219,52.02963257,3683
static,外套右邊,move,13.03215434,9.455771079,2.097811443,8575.378696,3143.470825,8.615449874,13.31516682,0.640156269,0.599295139,0.211115398,0.246860351,0.204340681,0.036429089,216,37.29335022,2838
static,外套右邊,move,9.653599471,9.821394169,1.855104866,5126.128034,7069.286591,9.441914111,13.9309555,0.272407055,0.245166302,0.23154591,0.158467287,0.130724425,0.052042073,120,18.74653625,2390
static,外套右邊,move,7.795804836,7.926820003,1.489677728,5479.3012,6449.218413,11.74933581,13.90286358,0.163444519,0.122582912,0.23154591,0.016058537,0.007359883,0.025570559,83,0.001220703,751
static,外套右邊,move,7.403350038,7.641239639,1.037367308,5506.628326,6388.718161,7.879702103,13.85572446,0.163444519,0.04086113,0.108962789,0.007849975,0.003344895,0.007461536,42,0.001144409,40
static,外套右邊,move,17.47673093,15.59125618,3.4512202,9232.525082,2673.667289,22.92673204,13.1026681,1.545909882,1.729784012,0.340508692,1.126178938,1.976349453,0.106841646,430,134.3415222,4354
static,外套右邊,move,14.83182429,9.974594664,2.396999396,8681.087463,3205.10278,9.67195136,13.4041247,0.824030876,0.592485428,0.299647659,0.453901307,0.23768398,0.054987289,211,50.45433044,5027
static,外套右邊,move,14.32076386,9.481294961,2.398245868,9010.578851,2835.764703,9.393309489,13.25355603,0.721879005,0.667397022,0.286027312,0.394373678,0.271314584,0.052355813,250,48.99645996,6054
static,外套右邊,move,17.55321372,10.16339511,2.672579762,9102.698606,2695.528473,18.14548315,13.24089339,1.225831032,0.803600311,0.313267991,1.128698534,0.32939775,0.060544671,268,62.62542725,3638
static,外套右邊,move,15.78322155,10.29972029,2.699256368,8701.744351,3100.651021,15.83156858,13.37347894,0.919373512,0.694637775,0.313267998,0.671119425,0.333878218,0.0652817,324,126.9528046,2945
static,外套右邊,move,15.86907859,11.92439628,2.976254972,8481.815798,3445.28162,16.62297085,13.52628222,0.735498428,0.905753136,0.272406958,0.625287184,0.628529539,0.075000637,281,91.49783325,4473
static,外套右邊,move,14.68180161,9.349026239,3.133676355,9364.506033,2534.411134,15.40358802,13.2041823,0.742308617,0.531193256,0.340508703,0.430652431,0.235273914,0.095679465,254,97.40548706,5878
static,外套右邊,move,15.50613853,10.16635812,2.10233671,8772.247856,3148.111072,6.477031453,13.33804481,0.912563801,0.674207211,0.258786611,0.573558429,0.31175025,0.049521249,259,61.03501892,9563
static,外套右邊,move,13.10101453,9.215000097,1.527435533,8623.315817,3241.557147,3.415124955,13.33527814,0.531193256,0.469902039,0.231545918,0.250531385,0.189244136,0.024868069,183,62.19882202,8195
static,外套右邊,move,14.6103838,9.370846654,2.121264207,8971.555165,2888.315931,6.398744577,13.246001,0.721878529,0.653777122,0.272406958,0.397229717,0.239355568,0.049156064,238,64.77047729,9918
static,外套右邊,move,13.18330506,8.835958433,1.891815639,9042.20159,2909.222262,5.130200765,13.29356581,0.54481411,0.612915993,0.251976438,0.247999933,0.18044434,0.036503142,214,55.36608887,8332
static,外套右邊,move,15.69736295,9.639717035,1.98688933,9048.88897,2857.973281,5.319424955,13.22929476,0.844460964,0.640156269,0.211115398,0.584716984,0.241009543,0.039948113,289,77.63969421,8891
static,外套右邊,move,18.56409867,12.06492189,1.990695271,8761.257527,3165.086158,5.333338415,13.27590193,1.137298584,0.885322571,0.231545918,1.206585255,0.524625095,0.039084439,340,93.68528748,7172
static,外套右邊,move,14.8813221,11.00758907,1.716738018,8253.878741,3713.524689,4.364213946,13.48637884,0.905753136,1.007905483,0.258786611,0.517490011,0.451795624,0.034053197,232,66.03756714,8598
static,外套右邊,move,13.15636128,9.629406162,1.613910746,8553.815055,3310.613412,3.83494288,13.34815363,0.742309093,0.75592947,0.231545918,0.297692026,0.33028185,0.029301698,175,61.33383179,6281
static,外套右邊,move,14.79721285,14.54364189,4.750847311,6935.334325,5170.380516,30.61368524,13.83795409,1.900038719,2.247357368,0.490332529,1.112440137,1.626140558,0.235822178,262,70.3866272,4128
